時間,顏色,型號,尺寸,厚度標準值(mm),厚度公差(mm),第1象限,第2象限,第3象限,第4象限,厚度結果(mm),厚度判定,外徑標準值(mm),外徑公差(mm),0~180,23~203,45~225,68~248,90~270,113~293,135~315,158~338,外徑結果(mm),外徑判定
13:42:19,Gray,E,150,9.2,0.7,7.13,9.04,9.75,7.5,8.35,NG,165,1,162.76,161.78,160.84,166.9,160.78,161.72,162.47,163.01,162.53,NG
13:48:49,Gray,E,150,9.2,0.7,7.11,9,9.68,7.43,8.3,NG,165,1,161.66,160.5,159.76,163.01,159.91,160.7,161.54,161.93,161.13,NG
13:55:17,Gray,E,150,9.2,0.7,7.16,8.92,9.93,7.45,8.37,NG,165,1,161.99,160.89,160.07,165.62,160.12,160.85,161.54,162.18,161.66,NG
14:01:47,Gray,E,150,9.2,0.7,7.04,9.05,9.79,7.65,8.38,NG,165,1,162.98,162.03,161,165.86,161.11,162.03,162.86,163.36,162.65,NG
14:08:16,Gray,E,150,9.2,0.7,8.32,9,9.55,7.3,8.54,NG,165,1,162.21,161.09,160.22,163.46,160.45,161.23,161.93,162.32,161.61,NG
14:14:46,Gray,E,150,9.2,0.7,10.03,9,9.67,7.43,9.03,NG,165,1,162.43,161.29,160.38,164.29,160.56,161.44,162.32,162.66,161.92,NG
14:21:16,Gray,E,150,9.2,0.7,7.84,9.09,9.77,7.47,8.54,NG,165,1,161.99,161.19,160.38,161.1,160.23,161.05,161.85,162.18,161.25,NG
14:27:45,Gray,E,150,9.2,0.7,7.48,9.07,9.72,7.43,8.43,NG,165,1,162.43,161.44,160.69,165.72,160.78,161.44,162.24,162.52,162.16,NG
14:34:14,Gray,E,150,9.2,0.7,7.37,9.2,9.74,7.49,8.45,NG,165,1,162.21,161.33,160.53,165.33,160.78,161.58,162.16,162.38,162.04,NG
14:40:44,Gray,E,150,9.2,0.7,7.09,9.13,9.79,7.74,8.44,NG,165,1,162.1,161.05,160.3,163.11,160.45,161.09,162.24,162.32,161.58,NG
14:47:15,Gray,E,150,9.2,0.7,7.01,9.13,9.98,7.43,8.39,NG,165,1,162.87,161.78,160.84,165.13,160.89,161.78,162.86,162.87,162.38,NG
14:53:45,Gray,E,150,9.2,0.7,7,9.09,9.74,7.49,8.33,NG,165,1,161.55,160.5,159.6,159.43,159.91,160.74,161.46,161.83,160.63,NG
15:00:15,Gray,E,150,9.2,0.7,7.08,9,9.67,7.43,8.29,NG,165,1,162.76,161.54,160.84,163.36,160.67,161.54,162.39,162.77,161.98,NG
15:06:45,Gray,E,150,9.2,0.7,7.3,9.05,9.62,7.39,8.34,NG,165,1,161.88,161.09,159.99,159.81,160.12,160.95,161.7,162.13,160.96,NG
